"Reference","JulianDate","Gear","Longitude","Latitude","StartDepth","Zone","month","year","starttime","effort","n","season","CPUE"
"TBM1999011416",14,300,-82.436,27.666833,1.7,"L",1,1999,13,7.412,0,1,0
"TBM1999011417",14,300,-82.438833,27.668833,3,"L",1,1999,13,8.8944,0,1,0
"TBM1999011903",19,160,-82.424667,27.787167,0.6,"C",1,1999,11,41.2,0,1,0
"TBM1999011905",19,160,-82.411333,27.8095,0.9,"C",1,1999,12,41.2,0,1,0
"TBM1999012006",20,300,-82.493,27.468833,1,"N",1,1999,10,5.9296,0,1,0
"TBM1999012008",20,300,-82.5215,27.491167,1,"N",1,1999,10,6.6708,0,1,0
"TBM1999012009",20,300,-82.532667,27.511333,1.5,"M",1,1999,11,5.9296,0,1,0
"TBM1999012010",20,300,-82.564167,27.504,2.9,"M",1,1999,11,6.6708,0,1,0
"TBM1999012012",20,300,-82.496167,27.5245,1.4,"M",1,1999,12,5.9296,0,1,0
"TBM1999020104",32,160,-82.600667,27.875333,2,"B",2,1999,11,41.2,0,2,0
"TBM1999020105",32,160,-82.5925,27.875833,2,"B",2,1999,12,41.2,0,2,0
"TBM1999020801",39,160,-82.705833,27.6285,0.8,"D",2,1999,9,41.2,0,2,0
"TBM1999020802",39,160,-82.7105,27.622833,1,"D",2,1999,10,41.2,0,2,0
"TBM1999020805",39,160,-82.722833,27.670333,1,"D",2,1999,12,41.2,0,2,0
"TBM1999020906",40,300,-82.397833,27.854,8,"K",2,1999,10,3.706,0,2,0
"TBM1999020913",40,300,-82.333667,27.8645,2,"K",2,1999,13,6.6708,0,2,0
"TBM1999021101",42,160,-82.6245,27.790667,2.4,"B",2,1999,9,41.2,0,2,0
"TBM1999021104",42,160,-82.597,27.852667,0.7,"B",2,1999,12,41.2,0,2,0
"TBM1999021201",43,160,-82.5415,27.6675,0.5,"E",2,1999,9,41.2,0,2,0
"TBM1999021203",43,160,-82.559,27.6395,0.5,"E",2,1999,11,41.2,0,2,0
"TBM1999021204",43,160,-82.566,27.605167,0.7,"E",2,1999,12,41.2,0,2,0
"TBM1999021504",46,160,-82.718833,27.954167,1.2,"A",2,1999,10,41.2,0,2,0
"TBM1999021507",46,160,-82.645833,27.9095,0.8,"A",2,1999,12,41.2,0,2,0
"TBM1999021509",46,160,-82.660167,27.911833,1.2,"A",2,1999,13,41.2,0,2,0
"TBM1999021511",46,160,-82.6325,27.905,1.4,"A",2,1999,13,41.2,0,2,0
"TBM1999021606",47,160,-82.6085,27.580833,1.2,"E",2,1999,11,41.2,0,2,0
"TBM1999021610",47,300,-82.4265,27.667667,1.5,"L",2,1999,12,5.9296,0,2,0
"TBM1999021612",47,300,-82.438333,27.667167,1.5,"L",2,1999,12,10.3768,0,2,0
"TBM1999021613",47,300,-82.4475,27.6895,1.2,"L",2,1999,12,8.1532,0,2,0
"TBM1999021614",47,300,-82.452,27.717667,2.1,"L",2,1999,13,8.1532,0,2,0
"TBM1999021615",47,300,-82.464833,27.716,2.5,"L",2,1999,13,6.6708,0,2,0
"TBM1999021616",47,300,-82.4735,27.718,2.8,"L",2,1999,14,8.1532,0,2,0
"TBM1999021707",48,160,-82.469167,27.837167,0.5,"C",2,1999,11,41.2,0,2,0
"TBM1999021708",48,160,-82.42,27.847,1,"C",2,1999,12,41.2,0,2,0
"TBM1999021803",49,160,-82.482333,27.710833,0.7,"C",2,1999,11,41.2,0,2,0
"TBM1999021804",49,160,-82.5155,27.702667,0.9,"C",2,1999,11,41.2,0,2,0
"TBM1999021805",49,160,-82.516667,27.699167,0.8,"E",2,1999,12,41.2,0,2,0
"TBM1999022203",53,300,-82.513667,27.493333,1.3,"N",2,1999,9,6.6708,0,2,0
"TBM1999022204",53,300,-82.492833,27.470667,3.6,"N",2,1999,10,8.8944,0,2,0
"TBM1999022213",53,300,-82.487,27.5225,2,"M",2,1999,14,6.6708,0,2,0
"TBM1999022215",53,300,-82.539833,27.503167,1.2,"M",2,1999,14,8.1532,0,2,0
"TBM1999022217",53,300,-82.556833,27.5015,3.7,"M",2,1999,15,5.9296,0,2,0
"TBM1999030204",61,160,-82.721,27.946,0.4,"A",3,1999,10,41.2,0,2,0
"TBM1999030208",61,160,-82.609,27.973167,0.5,"A",3,1999,11,41.2,0,2,0
"TBM1999030211",61,160,-82.654333,28.010333,0.6,"A",3,1999,12,41.2,0,2,0
"TBM1999030212",61,160,-82.684167,28.020333,0.9,"A",3,1999,13,41.2,0,2,0
"TBM1999030401",63,160,-82.738,27.645667,1,"D",3,1999,9,41.2,0,2,0
"TBM1999030405",63,160,-82.716333,27.647667,1,"D",3,1999,11,41.2,0,2,0
"TBM1999030406",63,160,-82.722167,27.659167,1,"D",3,1999,12,41.2,0,2,0
"TBM1999030904",68,160,-82.436167,27.863333,2,"C",3,1999,11,41.2,0,2,0
"TBM1999030905",68,160,-82.3945,27.842667,1.2,"C",3,1999,12,41.2,0,2,0
"TBM1999031006",69,300,-82.361833,27.8575,1.2,"K",3,1999,11,6.6708,0,2,0
"TBM1999031007",69,300,-82.3435,27.860333,2.7,"K",3,1999,12,8.1532,0,2,0
"TBM1999031201",71,160,-82.539333,27.881833,2.2,"B",3,1999,8,41.2,0,2,0
"TBM1999031202",71,160,-82.551833,27.8475,0.8,"B",3,1999,10,41.2,0,2,0
"TBM1999031203",71,160,-82.487667,27.8225,2,"C",3,1999,11,41.2,0,2,0
"TBM1999031610",75,160,-82.6325,27.738667,3.3,"B",3,1999,13,41.2,0,2,0
"TBM1999031611",75,160,-82.635,27.720333,1.2,"B",3,1999,14,41.2,0,2,0
"TBM1999031808",77,300,-82.471833,27.715333,2,"L",3,1999,11,6.6708,0,2,0
"TBM1999031809",77,300,-82.463,27.7125,2.8,"L",3,1999,11,7.412,0,2,0
"TBM1999031810",77,300,-82.454333,27.7095,1.5,"L",3,1999,11,8.8944,0,2,0
"TBM1999031812",77,300,-82.457167,27.697167,2.4,"L",3,1999,12,5.9296,0,2,0
"TBM1999031813",77,300,-82.447333,27.690167,2,"L",3,1999,12,6.6708,0,2,0
"TBM1999031815",77,300,-82.4355,27.675167,1.7,"L",3,1999,13,7.412,0,2,0
"TBM1999032204",81,300,-82.551333,27.5025,3,"M",3,1999,10,6.6708,0,2,0
"TBM1999032205",81,300,-82.549667,27.506333,3,"M",3,1999,10,6.6708,0,2,0
"TBM1999032206",81,300,-82.540333,27.508833,1.5,"M",3,1999,11,6.6708,0,2,0
"TBM1999032214",81,300,-82.4935,27.4655,2,"N",3,1999,14,8.1532,0,2,0
"TBM1999032215",81,300,-82.51,27.489833,2,"N",3,1999,15,8.1532,0,2,0
"TBM1999032306",82,160,-82.5695,27.633833,1.2,"E",3,1999,11,41.2,0,2,0
"TBM1999032310",82,160,-82.4745,27.71,0.9,"C",3,1999,13,41.2,0,2,0
"TBM1999032311",82,160,-82.497167,27.681167,0.6,"E",3,1999,14,41.2,0,2,0
"TBM1999032401",83,160,-82.611,27.507167,1.2,"E",3,1999,9,41.2,0,2,0
"TBM1999032404",83,160,-82.564333,27.6105,1,"E",3,1999,11,41.2,0,2,0
"TBM1999032405",83,160,-82.598667,27.5915,0.8,"E",3,1999,13,41.2,0,2,0
"TBM1999040108",91,160,-82.677167,27.6335,1.2,"D",4,1999,11,41.2,0,2,0
"TBM1999040110",91,160,-82.697,27.642,1.3,"D",4,1999,12,41.2,0,2,0
"TBM1999040112",91,160,-82.719333,27.651833,2,"D",4,1999,14,41.2,0,2,0
"TBM1999040202",92,160,-82.600833,27.973833,1.8,"A",4,1999,9,41.2,0,2,0
"TBM1999040203",92,160,-82.5835,27.978667,2,"A",4,1999,10,41.2,0,2,0
"TBM1999040601",96,160,-82.479667,27.743667,0.8,"C",4,1999,9,41.2,0,2,0
"TBM1999040603",96,160,-82.4795,27.739833,0.9,"C",4,1999,10,41.2,0,2,0
"TBM1999040605",96,160,-82.570667,27.635,1.4,"E",4,1999,11,41.2,0,2,0
"TBM1999040707",97,160,-82.423833,27.881667,1.9,"C",4,1999,12,41.2,0,2,0
"TBM1999040709",97,160,-82.4005,27.899833,0.9,"C",4,1999,12,41.2,0,2,0
"TBM1999040814",98,300,-82.336167,27.863333,NA,"K",4,1999,13,8.1532,0,2,0
"TBM1999040815",98,300,-82.3515,27.8565,1.8,"K",4,1999,14,6.6708,0,2,0
"TBM1999041302",103,160,-82.597667,27.8765,1.9,"B",4,1999,9,41.2,0,2,0
"TBM1999041304",103,300,-82.445333,27.689667,2.2,"L",4,1999,9,7.412,0,2,0
"TBM1999041306",103,300,-82.430833,27.665833,1.5,"L",4,1999,10,6.6708,0,2,0
"TBM1999041308",103,300,-82.4325,27.665833,1.5,"L",4,1999,10,7.412,0,2,0
"TBM1999041309",103,160,-82.629667,27.9075,0.8,"A",4,1999,11,41.2,0,2,0
"TBM1999041316",103,160,-82.6455,27.898333,2,"A",4,1999,12,41.2,0,2,0
"TBM1999041322",103,300,-82.470167,27.711333,2,"L",4,1999,15,8.1532,0,2,0
"TBM1999041323",103,300,-82.468333,27.710833,1.2,"L",4,1999,15,7.412,0,2,0
"TBM1999041324",103,300,-82.4465,27.701,1.5,"L",4,1999,16,8.1532,0,2,0
"TBM1999041401",104,300,-82.488833,27.522333,2.1,"M",4,1999,8,11.118,0,2,0
"TBM1999041403",104,300,-82.4845,27.526333,1.9,"M",4,1999,9,10.3768,0,2,0
"TBM1999041404",104,160,-82.621333,27.788667,0.6,"B",4,1999,9,41.2,0,2,0
"TBM1999041405",104,300,-82.487167,27.526167,1.7,"M",4,1999,9,6.6708,0,2,0
"TBM1999041415",104,160,-82.597167,27.8555,0.7,"B",4,1999,11,41.2,0,2,0
"TBM1999041418",104,160,-82.5515,27.851667,1,"B",4,1999,12,41.2,0,2,0
"TBM1999041501",105,300,-82.519,27.493833,1.7,"N",4,1999,8,7.412,0,2,0
"TBM1999041502",105,160,-82.601,27.5565,0.9,"E",4,1999,9,41.2,0,2,0
"TBM1999041503",105,300,-82.513333,27.492333,1.5,"N",4,1999,9,6.6708,0,2,0
"TBM1999041505",105,160,-82.636,27.538333,0.9,"E",4,1999,9,41.2,0,2,0
"TBM1999041509",105,160,-82.619,27.513667,1.4,"E",4,1999,10,41.2,0,2,0
"TBM1999042003",110,160,-82.677,27.519,0.7,"E",4,1999,10,41.2,0,2,0
"TBM1999050404",124,160,-82.538833,27.8815,2,"B",5,1999,10,41.2,0,3,0
"TBM1999050407",124,160,-82.537667,27.835,1,"B",5,1999,12,41.2,0,3,0
"TBM1999050408",124,160,-82.536667,27.839167,0.6,"B",5,1999,13,41.2,0,3,0
"TBM1999050410",124,160,-82.51,27.827667,0.8,"C",5,1999,14,41.2,0,3,0
"TBM1999050601",126,160,-82.4485,27.907333,1.6,"C",5,1999,9,41.2,0,3,0
"TBM1999050606",126,160,-82.392333,27.816833,1,"C",5,1999,12,41.2,0,3,0
"TBM1999050607",126,160,-82.415167,27.8045,1.4,"C",5,1999,14,41.2,0,3,0
"TBM1999051008",130,300,-82.348833,27.857833,1.5,"K",5,1999,11,8.1532,0,3,0
"TBM1999051010",130,300,-82.359833,27.8575,1.8,"K",5,1999,12,8.8944,0,3,0
"TBM1999051101",131,160,-82.678,27.651833,1.1,"D",5,1999,9,41.2,0,3,0
"TBM1999051115",131,160,-82.722,27.672833,1.1,"D",5,1999,12,41.2,0,3,0
"TBM1999051118",131,160,-82.711,27.706667,3.2,"D",5,1999,14,41.2,0,3,0
"TBM1999051202",132,160,-82.5555,27.643,0.7,"E",5,1999,10,41.2,0,3,0
"TBM1999051305",133,300,-82.434833,27.666167,2.2,"L",5,1999,10,6.6708,0,3,0
"TBM1999051306",133,300,-82.435833,27.665167,3,"L",5,1999,11,6.6708,0,3,0
"TBM1999051307",133,300,-82.441833,27.682833,1.8,"L",5,1999,11,8.1532,0,3,0
"TBM1999051308",133,300,-82.4485,27.703333,2,"L",5,1999,12,6.6708,0,3,0
"TBM1999051309",133,300,-82.459833,27.711167,3.1,"L",5,1999,12,5.9296,0,3,0
"TBM1999051311",133,300,-82.468167,27.7105,2,"L",5,1999,13,5.9296,0,3,0
"TBM1999051402",134,160,-82.722,27.946333,0.5,"A",5,1999,10,41.2,0,3,0
"TBM1999051403",134,160,-82.678833,28.0105,1.3,"A",5,1999,11,41.2,0,3,0
"TBM1999051405",134,160,-82.654167,28.0165,0.7,"A",5,1999,12,41.2,0,3,0
"TBM1999051710",137,300,-82.486,27.524167,1.2,"M",5,1999,13,6.6708,0,3,0
"TBM1999051712",137,300,-82.506167,27.522833,1.4,"M",5,1999,14,7.412,0,3,0
"TBM1999051804",138,160,-82.607833,27.5335,0.8,"E",5,1999,9,41.2,0,3,0
"TBM1999051807",138,160,-82.582833,27.5475,0.8,"E",5,1999,10,41.2,0,3,0
"TBM1999051811",138,160,-82.675667,27.519167,1,"E",5,1999,11,41.2,0,3,0
"TBM1999051816",138,160,-82.6305,27.548,0.7,"E",5,1999,12,41.2,0,3,0
"TBM1999051818",138,300,-82.495,27.479667,1.5,"N",5,1999,13,6.6708,0,3,0
"TBM1999051819",138,300,-82.523833,27.494667,1.8,"N",5,1999,13,5.1884,0,3,0
"TBM1999051903",139,300,-82.532667,27.512333,1.2,"M",5,1999,9,8.1532,0,3,0
"TBM1999052001",140,160,-82.6105,27.866667,1.3,"B",5,1999,10,41.2,0,3,0
"TBM1999052002",140,160,-82.6755,27.913667,2.4,"A",5,1999,11,41.2,0,3,0
"TBM1999060204",153,160,-82.681667,27.705833,1.5,"D",6,1999,11,41.2,0,3,0
"TBM1999060211",153,160,-82.7305,27.6605,0.8,"D",6,1999,14,41.2,0,3,0
"TBM1999060212",153,160,-82.734667,27.643833,0.8,"D",6,1999,15,41.2,0,3,0
"TBM1999060302",154,160,-82.398333,27.852833,0.6,"C",6,1999,9,41.2,0,3,0
"TBM1999060303",154,160,-82.418667,27.8475,1,"C",6,1999,10,41.2,0,3,0
"TBM1999060304",154,160,-82.4275,27.884833,1.1,"C",6,1999,11,41.2,0,3,0
"TBM1999060404",155,160,-82.588167,27.834333,0.7,"B",6,1999,9,41.2,0,3,0
"TBM1999060408",155,160,-82.5355,27.8335,1,"B",6,1999,11,41.2,0,3,0
"TBM1999060409",155,160,-82.551833,27.849667,0.6,"B",6,1999,12,41.2,0,3,0
"TBM1999060801",159,160,-82.542167,27.682333,0.8,"E",6,1999,9,41.2,0,3,0
"TBM1999060805",159,160,-82.568333,27.624,1.4,"E",6,1999,10,41.2,0,3,0
"TBM1999060806",159,300,-82.387667,27.857333,2,"K",6,1999,10,8.8944,0,3,0
"TBM1999060807",159,300,-82.385167,27.859333,2,"K",6,1999,11,7.412,0,3,0
"TBM1999060813",159,160,-82.510333,27.678333,1,"E",6,1999,13,41.2,0,3,0
"TBM1999061003",161,160,-82.6225,27.564167,0.8,"E",6,1999,10,41.2,0,3,0
"TBM1999061004",161,160,-82.6225,27.549167,1.6,"E",6,1999,10,41.2,0,3,0
"TBM1999061405",165,300,-82.453667,27.711,3,"L",6,1999,11,7.412,0,3,0
"TBM1999061406",165,300,-82.450833,27.7095,3.4,"L",6,1999,11,6.6708,0,3,0
"TBM1999061407",165,300,-82.4495,27.708833,2.3,"L",6,1999,11,5.9296,0,3,0
"TBM1999061410",165,300,-82.440333,27.681833,1.9,"L",6,1999,13,8.8944,0,3,0
"TBM1999061411",165,300,-82.432167,27.679,1.7,"L",6,1999,13,8.1532,0,3,0
"TBM1999061412",165,300,-82.4355,27.6665,1.9,"L",6,1999,14,9.6356,0,3,0
"TBM1999061602",167,160,-82.7085,27.9575,0.8,"A",6,1999,9,41.2,0,3,0
"TBM1999061606",167,160,-82.692,27.926333,0.6,"A",6,1999,10,41.2,0,3,0
"TBM1999061612",167,160,-82.653833,27.910333,1,"A",6,1999,11,41.2,0,3,0
"TBM1999061615",167,160,-82.663333,27.964167,2.5,"A",6,1999,12,41.2,0,3,0
"TBM1999061620",167,300,-82.5515,27.505667,3.5,"M",6,1999,14,8.1532,0,3,0
"TBM1999061621",167,300,-82.553167,27.5045,3.3,"M",6,1999,14,6.6708,0,3,0
"TBM1999061623",167,300,-82.556833,27.504333,2.5,"M",6,1999,15,5.1884,0,3,0
"TBM1999061708",168,160,-82.480833,27.886167,1.1,"C",6,1999,10,41.2,0,3,0
"TBM1999061714",168,300,-82.498,27.484167,1.9,"N",6,1999,12,7.412,0,3,0
"TBM1999061716",168,300,-82.506,27.487833,2.2,"N",6,1999,12,7.412,0,3,0
"TBM1999061805",169,160,-82.635167,27.720333,1.6,"B",6,1999,10,41.2,0,3,0
"TBM1999070603",187,160,-82.519833,27.677167,0.8,"E",7,1999,10,41.2,0,3,0
"TBM1999070604",187,160,-82.569167,27.633667,1,"E",7,1999,11,41.2,0,3,0
"TBM1999070607",187,160,-82.5735,27.607833,0.6,"E",7,1999,13,41.2,0,3,0
"TBM1999070701",188,160,-82.733833,27.633,0.9,"D",7,1999,9,41.2,0,3,0
"TBM1999070703",188,160,-82.718167,27.640333,1.1,"D",7,1999,10,41.2,0,3,0
"TBM1999070704",188,160,-82.6775,27.6675,1.4,"D",7,1999,11,41.2,0,3,0
"TBM1999070807",189,300,-82.388167,27.858167,2.2,"K",7,1999,11,5.1884,0,3,0
"TBM1999070815",189,300,-82.343667,27.860667,3,"K",7,1999,16,8.1532,0,3,0
"TBM1999071306",194,160,-82.634667,27.742,2,"B",7,1999,10,41.2,0,3,0
"TBM1999071402",195,160,-82.476333,27.747333,0.8,"C",7,1999,9,41.2,0,3,0
"TBM1999071403",195,300,-82.483,27.717833,1.3,"L",7,1999,9,7.412,0,3,0
"TBM1999071404",195,160,-82.488167,27.719167,0.8,"C",7,1999,10,41.2,0,3,0
"TBM1999071410",195,300,-82.454667,27.7115,2.4,"L",7,1999,12,7.412,0,3,0
"TBM1999071411",195,300,-82.45,27.709167,2.1,"L",7,1999,12,8.8944,0,3,0
"TBM1999071412",195,160,-82.471667,27.828167,1.2,"C",7,1999,13,41.2,0,3,0
"TBM1999071413",195,300,-82.457333,27.697667,3.8,"L",7,1999,13,6.6708,0,3,0
"TBM1999071415",195,160,-82.398667,27.818167,1.3,"C",7,1999,14,41.2,0,3,0
"TBM1999071418",195,300,-82.426667,27.6675,3.6,"L",7,1999,15,6.6708,0,3,0
"TBM1999071419",195,300,-82.434333,27.665333,3.6,"L",7,1999,15,7.412,0,3,0
"TBM1999071501",196,160,-82.618,27.552,1.4,"E",7,1999,9,41.2,0,3,0
"TBM1999071502",196,160,-82.578167,27.549667,1,"E",7,1999,10,41.2,0,3,0
"TBM1999071604",197,160,-82.615,27.993167,0.7,"A",7,1999,10,41.2,0,3,0
"TBM1999071608",197,160,-82.5475,27.951,2.4,"A",7,1999,12,41.2,0,3,0
"TBM1999071609",197,160,-82.692833,27.962333,2.3,"A",7,1999,14,41.2,0,3,0
"TBM1999072101",202,160,-82.601667,27.864667,1.5,"B",7,1999,8,41.2,0,3,0
"TBM1999072102",202,300,-82.533833,27.507667,1.6,"M",7,1999,9,6.6708,0,3,0
"TBM1999072103",202,160,-82.5935,27.875167,2.4,"B",7,1999,9,41.2,0,3,0
"TBM1999072104",202,300,-82.521333,27.493833,1.5,"N",7,1999,9,7.412,0,3,0
"TBM1999072105",202,300,-82.525333,27.498167,1.2,"N",7,1999,10,7.412,0,3,0
"TBM1999072113",202,300,-82.476167,27.527833,1.9,"M",7,1999,15,8.1532,0,3,0
"TBM1999072114",202,300,-82.495833,27.524667,1,"M",7,1999,15,7.412,0,3,0
"TBM1999072301",204,160,-82.606333,27.873667,1.9,"B",7,1999,8,41.2,0,3,0
"TBM1999072303",204,160,-82.633167,27.904833,1.3,"A",7,1999,12,41.2,0,3,0
"TBM1999080302",215,160,-82.5325,27.8785,0.9,"B",8,1999,9,41.2,0,4,0
"TBM1999080305",215,160,-82.553,27.855,0.7,"B",8,1999,10,41.2,0,4,0
"TBM1999080402",216,160,-82.4465,27.939167,1,"C",8,1999,9,41.2,0,4,0
"TBM1999080409",216,160,-82.414667,27.847833,0.8,"C",8,1999,12,41.2,0,4,0
"TBM1999080410",216,160,-82.385833,27.860167,0.8,"C",8,1999,13,41.2,0,4,0
"TBM1999080503",217,160,-82.618333,27.992167,1,"A",8,1999,10,41.2,0,4,0
"TBM1999080504",217,160,-82.596667,27.979167,1,"A",8,1999,10,41.2,0,4,0
"TBM1999080507",217,160,-82.545333,27.949833,1,"A",8,1999,12,41.2,0,4,0
"TBM1999080602",218,160,-82.636,27.721167,2,"B",8,1999,10,41.2,0,4,0
"TBM1999080912",221,300,-82.34,27.863,1.8,"K",8,1999,12,7.412,0,4,0
"TBM1999080913",221,300,-82.385,27.858,1.8,"K",8,1999,13,8.1532,0,4,0
"TBM1999081002",222,160,-82.733667,27.643667,2.1,"D",8,1999,9,41.2,0,4,0
"TBM1999081005",222,160,-82.738167,27.656667,0.5,"D",8,1999,10,41.2,0,4,0
"TBM1999081009",222,160,-82.733667,27.671,1.4,"D",8,1999,11,41.2,0,4,0
"TBM1999081102",223,160,-82.486833,27.709167,0.9,"C",8,1999,10,41.2,0,4,0
"TBM1999081103",223,160,-82.565167,27.623167,1,"E",8,1999,12,41.2,0,4,0
"TBM1999081104",223,160,-82.57,27.609667,1.1,"E",8,1999,13,41.2,0,4,0
"TBM1999081105",223,160,-82.578,27.589833,1.4,"E",8,1999,15,41.2,0,4,0
"TBM1999081201",224,300,-82.456333,27.716333,2.5,"L",8,1999,9,5.9296,0,4,0
"TBM1999081202",224,160,-82.6075,27.5225,0.9,"E",8,1999,9,41.2,0,4,0
"TBM1999081205",224,160,-82.669167,27.5275,1,"E",8,1999,11,41.2,0,4,0
"TBM1999081209",224,300,-82.474833,27.711333,1.3,"L",8,1999,12,8.8944,0,4,0
"TBM1999081211",224,300,-82.452667,27.700667,2.4,"L",8,1999,12,3.706,0,4,0
"TBM1999081212",224,300,-82.4395,27.683167,1.2,"L",8,1999,13,8.8944,0,4,0
"TBM1999081218",224,300,-82.437167,27.673833,3,"L",8,1999,14,9.6356,0,4,0
"TBM1999081220",224,300,-82.421,27.669,1.2,"L",8,1999,15,6.6708,0,4,0
"TBM1999081303",225,160,-82.6335,27.91,0.7,"A",8,1999,11,41.2,0,4,0
"TBM1999081304",225,160,-82.606,27.874667,1.5,"B",8,1999,12,41.2,0,4,0
"TBM1999081706",229,300,-82.483333,27.527167,1.8,"M",8,1999,11,9.6356,0,4,0
"TBM1999081712",229,300,-82.5015,27.484667,1.5,"N",8,1999,14,5.9296,0,4,0
"TBM1999081713",229,300,-82.508,27.489167,1.3,"N",8,1999,15,5.1884,0,4,0
"TBM1999081714",229,300,-82.558167,27.501333,6.3,"M",8,1999,16,8.8944,0,4,0
"TBM1999081715",229,300,-82.558667,27.505333,2,"M",8,1999,17,4.4472,0,4,0
"TBM1999090303",246,160,-82.406833,27.791333,0.8,"C",9,1999,10,41.2,0,4,0
"TBM1999090804",251,160,-82.654167,28.009167,0.8,"A",9,1999,10,41.2,0,4,0
"TBM1999090805",251,300,-82.373167,27.858167,1.5,"K",9,1999,10,5.9296,0,4,0
"TBM1999090806",251,160,-82.6275,28.0025,0.8,"A",9,1999,10,41.2,0,4,0
"TBM1999090807",251,300,-82.338333,27.863167,1.5,"K",9,1999,10,8.8944,0,4,0
"TBM1999090817",251,160,-82.614167,27.989167,1,"A",9,1999,13,41.2,0,4,0
"TBM1999090821",251,160,-82.690833,27.970833,1.3,"A",9,1999,14,41.2,0,4,0
"TBM1999091002",253,160,-82.472167,27.718833,0.9,"C",9,1999,9,41.2,0,4,0
"TBM1999091006",253,160,-82.4965,27.708167,0.6,"C",9,1999,11,41.2,0,4,0
"TBM1999091008",253,160,-82.515833,27.702833,1,"C",9,1999,11,41.2,0,4,0
"TBM1999091009",253,160,-82.544,27.660333,0.7,"E",9,1999,12,41.2,0,4,0
"TBM1999091302",256,160,-82.618667,27.800833,2.6,"B",9,1999,11,41.2,0,4,0
"TBM1999091307",256,160,-82.597667,27.864833,0.9,"B",9,1999,13,41.2,0,4,0
"TBM1999091401",257,300,-82.447833,27.699167,1.3,"L",9,1999,8,8.8944,0,4,0
"TBM1999091402",257,300,-82.482667,27.717833,1.1,"L",9,1999,9,6.6708,0,4,0
"TBM1999091405",257,300,-82.481667,27.713333,1,"L",9,1999,11,5.9296,0,4,0
"TBM1999091408",257,300,-82.452,27.717833,2,"L",9,1999,12,8.8944,0,4,0
"TBM1999091410",257,300,-82.424167,27.667833,1.1,"L",9,1999,13,4.4472,0,4,0
"TBM1999091414",257,300,-82.4395,27.6715,2.1,"L",9,1999,16,7.412,0,4,0
"TBM1999091602",259,160,-82.548167,27.852333,0.6,"B",9,1999,9,41.2,0,4,0
"TBM1999091604",259,160,-82.536833,27.8345,0.9,"B",9,1999,11,41.2,0,4,0
"TBM1999091701",260,160,-82.686833,27.704833,1,"D",9,1999,8,41.2,0,4,0
"TBM1999091703",260,160,-82.653667,27.699333,0.9,"D",9,1999,9,41.2,0,4,0
"TBM1999091706",260,300,-82.5075,27.489,1.6,"N",9,1999,10,6.6708,0,4,0
"TBM1999091708",260,300,-82.4925,27.474167,1.3,"N",9,1999,10,6.6708,0,4,0
"TBM1999091716",260,300,-82.5585,27.502167,6.9,"M",9,1999,13,6.6708,0,4,0
"TBM1999091718",260,300,-82.5395,27.503667,1.2,"M",9,1999,13,8.8944,0,4,0
